filePrefix	plate	submissionID	Primers	SeqYear	SeqMonth	SeqDay
TRIMMER0002	TRIMMER0002_P2	b51b81e9ee80	TSO_demux_primers.csv	2020	3	10
TRIMMER0003	TRIMMER0003_P3	44253d7c0358	TSO_demux_primers.csv	2020	2	14
TRIMMER0004-2	TRIMMER0004.2_P4	9468dd86bf48	TSO_demux_primers.csv	2020	5	10
TRIMMER0005	TRIMMER0005_P5	a85eaabf4db1	TSO_demux_primers.csv	2020	5	10
TRIMMER0006	TRIMMER0006_P6	fbd7e89206cd	TSO_demux_primers.csv	2020	5	10
TRIMMER0007	TRIMMER0007_P7	fbc9c29d66fd	TSO_demux_primers.csv	2020	5	10
Trimmer0010	TRIMMER0010_P10R	c934ffd7d175	TSO_demux_primers.csv	2020	9	25
TRIMMER0013	TRIMMER0013_P28	038b80bc1099	TSO_demux_primers.csv	2020	3	23
TRIMMER0014	TRIMMER0014_P29	ac6d6a21a9ae	TSO_demux_primers.csv	2020	3	23
TRIMMER0015	TRIMMER0015_P30	0f23e093e024	TSO_demux_primers.csv	2020	3	23
TRIMMER0016	TRIMMER0016_P31	0ad1bdfe0ab8	TSO_demux_primers.csv	2020	3	23
TRIMMER0017	TRIMMER0017_P45	e2a544ccc4da	TSO_demux_primers.csv	2020	3	23
TRIMMER0018	TRIMMER0018_P8	f82e1887716e	TSO_demux_primers.csv	2020	5	10
TRIMMER0019	TRIMMER0019_P9	0ae96d4d9d8b	TSO_demux_primers.csv	2020	5	10
TRIMMER0020	TRIMMER0020_P10	77039bfd28a7	TSO_demux_primers.csv	2020	5	10
TRIMMER0021	TRIMMER0021_P11	1dc705814d42	TSO_demux_primers.csv	2020	5	10
TRIMMER0022	TRIMMER0022_P12	79238b776847	TSO_demux_primers.csv	2020	5	10
TRIMMER0023	TRIMMER0023_P13	2d0a858065b2	TSO_demux_primers.csv	2020	5	10
TRIMMER0024	TRIMMER0024_P14	b73ff6efdbc6	TSO_demux_primers.csv	2020	5	10
TRIMMER0026	TRIMMER0026_P16	332c36989c6f	TSO_demux_primers.csv	2020	5	10
TRIMMER0027-P33	TRIMMER0027_P33	423de31a0d31	TSO_demux_primers.csv	2020	6	10
TRIMMER0028-P34	TRIMMER0028_P34	36db826126dd	TSO_demux_primers.csv	2020	6	10
TRIMMER0029-P35	TRIMMER0029_P35	cdbebe93cfaf	TSO_demux_primers.csv	2020	6	10
TRIMMER0030-P36	TRIMMER0030_P36	28d75fef1e9b	TSO_demux_primers.csv	2020	6	19
TRIMMER0031-P15	TRIMMER0031_P15	5e203eee79e5	TSO_demux_primers.csv	2020	6	10
TRIMMER0033-P17	TRIMMER0033_P17	e16b902b3dda	TSO_demux_primers.csv	2020	6	10
TRIMMER0034-P18	TRIMMER0034_P18	be73474fabf1	TSO_demux_primers.csv	2020	6	10
TRIMMER0035-P19	TRIMMER0035_P19	98404f660f36	TSO_demux_primers.csv	2020	6	10
TRIMMER0036-P20	TRIMMER0036_P20	3dbb3e7a62bb	TSO_demux_primers.csv	2020	6	10
TRIMMER0037-P21	TRIMMER0037_P21	1847d743476a	TSO_demux_primers.csv	2020	6	10
TRIMMER0038-P22	TRIMMER0038_P22	6ac1b94e27fa	TSO_demux_primers.csv	2020	6	10
TRIMMER0039-P23	TRIMMER0039_P23	033654275fbc	TSO_demux_primers.csv	2020	6	10
TRIMMER0040-P24	TRIMMER0040_P24	44023ab38272	TSO_demux_primers.csv	2020	6	10
TRIMMER0041-P25	TRIMMER0041_P25	a255d6b04ff9	TSO_demux_primers.csv	2020	6	10
TRIMMER0042-P26	TRIMMER0042_P26	0ad9cce29fc4	TSO_demux_primers.csv	2020	6	10
TRIMMER0043-P27	TRIMMER0043_P27	64c4474e3911	TSO_demux_primers.csv	2020	6	10
TRIMMER0044-P37	TRIMMER0044_P37	2826fcdfe77d	TSO_demux_primers.csv	2020	6	19
TRIMMER0045-P38	TRIMMER0045_P38	3db2b17446dc	TSO_demux_primers.csv	2020	6	19
TRIMMER0046-P39	TRIMMER0046_P39	5c84c4363afe	TSO_demux_primers.csv	2020	6	19
TRIMMER0047-P40	TRIMMER0047_P40	e8f637d33c45	TSO_demux_primers.csv	2020	6	19
TRIMMER0048-P41	TRIMMER0048_P41	fde7db51946f	TSO_demux_primers.csv	2020	6	19
TRIMMER0049-P42	TRIMMER0049_P42	8f5de7e59c72	TSO_demux_primers.csv	2020	6	19
TRIMMER0050-P43	TRIMMER0050_P43	d4dd6bf2754a	TSO_demux_primers.csv	2020	6	19
TRIMMER0051-P44	TRIMMER0051_P44	0f5efefe1e26	TSO_demux_primers.csv	2020	6	19
TRIMMER0052-P46	TRIMMER0052_P46	91997dd61181	TSO_demux_primers.csv	2020	6	19
TRIMMER0053-P47	TRIMMER0053_P47	7b087cc9dac9	TSO_demux_primers.csv	2020	6	19
TRIMMER0054-P48	TRIMMER0054_P48	342c8912c4d2	TSO_demux_primers.csv	2020	6	19
TRIMMER0055-P49	TRIMMER0055_P49	b691da5f3070	TSO_demux_primers.csv	2020	6	19
TRIMMER0056-P50	TRIMMER0056_P50	b4163b716ac5	TSO_demux_primers.csv	2020	6	19
TRIMMER0057-P51	TRIMMER0057_P51	dc9867a2b1cb	TSO_demux_primers.csv	2020	6	19
TRIMMER0058-P52	TRIMMER0058_P52	94acfa449ee4	TSO_demux_primers.csv	2020	6	19
TRIMMER0059-P54	TRIMMER0059_P54	bb0d62fcb952	TSO_demux_primers.csv	2020	6	19
TRIMMER0060-P55	TRIMMER0060_P55	f4733f2a6658	TSO_demux_primers.csv	2020	6	19
TRIMMER0061-P56	TRIMMER0061_P56	a32e64d8865b	TSO_demux_primers.csv	2020	6	19
TRIMMER0062-P57	TRIMMER0062_P57	1d39c7b1e6dd	TSO_demux_primers.csv	2020	6	19
TRIMMER0063-P58	TRIMMER0063_P58	c11f2bfd42f7	TSO_demux_primers.csv	2020	6	19
TRIMMER0064-P59	TRIMMER0064_P59	a7165cd7b068	TSO_demux_primers.csv	2020	6	19
TRIMMER0065-P60	TRIMMER0065_P60	6cd39528f1e5	TSO_demux_primers.csv	2020	6	19
TRIMMER0066-P65	TRIMMER0066_P65	5296a43318d7	TSO_demux_primers.csv	2020	6	19
TRIMMER0067-P66	TRIMMER0067_P66	beeee3abe78b	TSO_demux_primers.csv	2020	6	19
Trimmer0068	TRIMMER0068_P1R	a2c220469b52	TSO_demux_primers.csv	2020	9	25
TRIMMER0069_S1	TRIMMER0069_PDP1	91f91788bffd	TSO_demux_primers.csv	2020	9	25
TRIMMER0070_S2	TRIMMER0070_PDP2	93d8402bcf73	TSO_demux_primers.csv	2020	9	25
TRIMMER0073_S3	TRIMMER0073_PS1	ea12e53bba1e	TSO_demux_primers.csv	2020	9	25
TRIMMER0074_S4	TRIMMER0074_PS2	9917319840be	TSO_demux_primers.csv	2020	9	25
TRIMMER0075_S5	TRIMMER0075_PS3	19480fabed7d	TSO_demux_primers.csv	2020	9	25
TRIMMER-P32R	TRIMMER0077_P32R	eb352c41809f	TSO_demux_primers.csv	2020	11	27
TRIMMER-P67	TRIMMER0078_P67	8f2162ef8f65	TSO_demux_primers.csv	2020	11	27
TRIMMER-P68	TRIMMER0079_P68	9dd22f175ecf	TSO_demux_primers.csv	2020	11	27
TRIMMER-P69	TRIMMER0080_P69	9a4477da51cb	TSO_demux_primers.csv	2020	11	27
